source	target	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition
P0DP23	Q13507	1	0	1	1	0	1
P46531	Q9Y219	1	0	1	0	0	0
Q9Y219	P46531	1	1	1	1	1	0
O00548	P46531	1	1	0	1	1	0
P05019	P08069	1	1	0	1	1	0
P46531	P78504	1	1	0	0	0	0
P78504	P46531	1	1	1	1	1	0
P01135	P04626	1	1	0	1	1	0
Q96HF1	P56705	1	0	1	1	0	1
Q8N474	P56705	1	1	1	1	0	1
Q96HF1	P04628	1	0	1	1	0	1
Q8N474	P09544	1	0	1	1	0	1
Q8N474	P04628	1	1	1	1	1	0
P41221	Q14332	1	1	1	1	1	0
Q9GZX6	Q08334	1	1	0	1	1	0
P01588	P19235	1	1	0	1	1	0
Q9H2A7	O00574	1	1	0	1	1	0
P16619	P51681	1	1	0	1	1	0
P50591	O14798	1	1	1	1	1	0
P22301	Q13651	1	1	0	1	1	0
P01579	P15260	1	1	0	1	1	0
P01344	P11717	1	1	0	1	1	0
P49771	P36888	1	1	0	1	1	0
P21583	P10721	1	1	0	1	1	0
P01344	P08069	1	1	0	1	1	0
Q07325	P49682	1	1	0	1	1	0
P13501	P51681	1	1	0	1	1	0
P80075	P51681	1	1	0	1	1	0
P13236	P51681	1	1	0	1	1	0
P05231	P40189	1	1	0	1	1	0
P00533	P01133	1	1	0	0	0	0
P01133	P00533	1	1	0	1	1	0
P01583	P14778	1	1	0	1	1	0
O94907	O75581	1	1	1	1	1	0
O94907	O75197	1	0	1	1	0	1
P41221	Q13467	1	1	0	1	1	0
P04899	P48039	1	0	0	0	0	0
P48039	P04899	1	1	0	0	0	0
P10747	P42081	1	0	0	0	0	0
P42081	P10747	1	1	0	1	1	0
P10747	P33681	1	1	0	0	0	0
P33681	P10747	1	1	0	1	1	0
P04083	P25090	1	1	0	1	1	0
P25090	P04083	1	0	0	0	0	0
O43557	P36941	1	1	0	1	1	0
P29965	P25942	1	1	0	1	1	0
P01374	P19438	1	1	0	1	1	0
Q06643	P36941	1	1	0	1	1	0
Q02297	P04626	1	1	0	1	1	0
Q00604	Q9ULV1	1	1	0	1	1	0
P01138	P04629	1	1	0	1	1	0
P05112	P24394	1	1	0	1	1	0
Q8N474	O60353	1	0	1	1	0	1
P01135	P00533	1	1	0	1	1	0
O00587	Q04721	1	1	1	1	0	1
P02778	P49682	1	1	0	1	1	0
P09919	Q99062	1	1	0	1	1	0
P04141	P15509	1	1	0	1	1	0
P14210	P08581	1	1	0	1	1	0
P01375	P20333	1	1	0	1	1	0
P01308	P06213	1	1	0	1	1	0
P41273	Q07011	1	1	0	1	1	0
P26842	P32970	1	0	0	0	0	0
P32970	P26842	1	1	0	1	1	0
P48023	P25445	1	1	1	1	1	0
P50591	Q9UBN6	1	1	0	1	1	0
P50591	O14763	1	1	0	1	1	0
O00220	P50591	1	0	0	0	0	0
P50591	O00220	1	1	0	1	1	0
P01375	P19438	1	1	0	1	1	0
Q15465	Q13635	1	1	1	1	0	1
O43323	Q13635	1	1	1	1	1	0
Q14623	Q13635	1	1	1	1	0	1
P01148	P30968	1	1	0	1	1	0
P41221	Q01974	1	1	0	1	1	0
O00182	Q8TDQ0	1	0	0	0	0	0
P78504	Q04721	1	1	1	1	1	0
Q04721	P78504	1	0	0	0	0	0
P78504	Q9UM47	1	1	1	1	1	0
Q9UM47	P78504	1	0	0	0	0	0
P01137	P37023	1	0	0	0	0	0
Q15465	Q9Y6C5	1	1	1	1	1	0
P56705	O60353	1	1	0	1	1	0
Q04721	Q9Y219	1	0	0	0	0	0
Q9Y219	Q04721	1	1	1	1	1	0
Q9UM47	Q9Y219	1	0	0	0	0	0
Q9Y219	Q9UM47	1	1	1	1	1	0
P04628	O75581	1	1	0	1	1	0
P04628	P34925	1	1	0	1	1	0
P05231	P08887	1	1	0	1	1	0
P10600	P37173	1	1	0	1	1	0
P10600	Q03167	1	1	0	1	1	0
P61812	Q03167	1	1	0	1	1	0
P61812	P37173	1	1	0	1	1	0
P61812	P36897	1	1	0	1	1	0
P56704	P34925	1	1	0	1	1	0
O14625	P49682	1	1	0	1	1	0
O94907	Q96MU8	1	1	0	1	1	0
P56704	Q9UP38	1	1	0	1	1	0
P09544	Q9UP38	1	1	0	1	1	0
P56703	Q9UP38	1	1	0	1	1	0
P41221	Q9UP38	1	1	0	1	1	0
P18085	P00533	1	0	0	0	0	0
O94907	Q8NCW0	1	1	0	1	1	0
P34925	Q9H461	1	1	0	1	1	0
P16410	P33681	1	0	0	0	0	0
P33681	P16410	1	1	0	1	1	0
P49768	P46531	1	1	0	1	1	0
P18510	P14778	1	0	1	1	0	1
O00755	Q13467	1	1	0	1	1	0
P49768	Q9UM47	1	1	0	1	1	0
P60568	P31785	1	1	1	1	1	0
P60568	P14784	1	1	0	1	1	0
P60568	P01589	1	1	0	1	1	0
O43323	Q9Y6C5	1	1	0	1	1	0
P49768	Q04721	1	1	0	1	1	0
Q9UIW2	P46531	1	0	0	0	0	0
P48745	P46531	1	1	0	1	1	0
P08700	P32927	1	1	0	1	1	0
Q01974	Q13467	1	1	0	1	1	0
P56704	O75581	1	1	0	1	1	0
Q12860	Q04721	1	0	0	0	0	0
Q12860	P46531	1	1	0	1	1	0
P18510	P27930	1	1	0	1	1	0
P05113	Q01344	1	1	0	1	1	0
P15248	P31785	1	1	0	1	1	0
P16410	P42081	1	0	0	0	0	0
P42081	P16410	1	1	0	1	1	0
Q14623	Q9Y6C5	1	1	1	1	1	0
P01584	P27930	1	1	1	1	0	1
P01138	P08138	1	1	0	1	1	0
Q01974	Q14332	1	1	0	1	1	0
P08700	P26951	1	1	0	1	1	0
P13232	P16871	1	1	0	1	1	0
P49768	Q99466	1	1	0	1	1	0
O75144	Q9Y6W8	1	1	0	1	1	0
P01583	P27930	1	1	0	1	1	0
P04628	O75197	1	1	0	1	1	0
P01137	P37173	1	1	0	1	1	0
P01137	Q03167	1	1	0	1	1	0
P01137	P36897	1	1	0	1	1	0
P15248	Q01113	1	1	0	1	1	0
O00548	Q04721	1	1	0	1	1	0
O00548	Q9UM47	1	1	0	1	1	0
Q99466	Q9NR61	1	0	0	0	0	0
Q9NR61	Q99466	1	1	0	1	1	0
P01584	P14778	1	1	0	1	1	0
P15018	P42702	1	1	0	1	1	0
P35225	P78552	1	1	0	1	1	0
P35225	Q14627	1	1	0	1	1	0
P12643	Q13873	1	1	0	1	1	0
P43026	Q13873	1	1	0	1	1	0
P01236	P16471	1	1	0	1	1	0
P01241	P16471	1	1	0	1	1	0
P01241	P10912	1	1	0	1	1	0
P01579	P38484	1	1	0	1	1	0
Q969D9	Q9HC73	1	1	0	1	1	0
P01308	P08069	1	1	0	1	1	0
P29459	P42701	1	1	0	1	1	0
