Gene stable ID,Gene stable ID version,HGNC symbol
ENSG00000000460,ENSG00000000460.17,FIRRM
ENSG00000000971,ENSG00000000971.17,CFH
ENSG00000001617,ENSG00000001617.12,SEMA3F
ENSG00000001626,ENSG00000001626.18,CFTR
ENSG00000002586,ENSG00000002586.20,CD99
ENSG00000002745,ENSG00000002745.13,WNT16
ENSG00000003436,ENSG00000003436.16,TFPI
ENSG00000004399,ENSG00000004399.13,PLXND1
ENSG00000004948,ENSG00000004948.16,CALCR
ENSG00000005844,ENSG00000005844.19,ITGAL
ENSG00000005884,ENSG00000005884.18,ITGA3
ENSG00000005961,ENSG00000005961.19,ITGA2B
ENSG00000006016,ENSG00000006016.12,CRLF1
ENSG00000006128,ENSG00000006128.12,TAC1
ENSG00000006210,ENSG00000006210.7,CX3CL1
ENSG00000006327,ENSG00000006327.14,TNFRSF12A
ENSG00000006606,ENSG00000006606.9,CCL26
ENSG00000006607,ENSG00000006607.14,FARP2
ENSG00000006638,ENSG00000006638.13,TBXA2R
ENSG00000006831,ENSG00000006831.10,ADIPOR2
ENSG00000007314,ENSG00000007314.12,SCN4A
ENSG00000007908,ENSG00000007908.16,SELE
ENSG00000008300,ENSG00000008300.17,CELSR3
ENSG00000008438,ENSG00000008438.5,PGLYRP1
ENSG00000009694,ENSG00000009694.14,TENM1
ENSG00000010278,ENSG00000010278.15,CD9
ENSG00000010310,ENSG00000010310.9,GIPR
ENSG00000010319,ENSG00000010319.7,SEMA3G
ENSG00000010438,ENSG00000010438.17,PRSS3
ENSG00000010610,ENSG00000010610.10,CD4
ENSG00000010704,ENSG00000010704.20,HFE
ENSG00000011028,ENSG00000011028.14,MRC2
ENSG00000011201,ENSG00000011201.12,ANOS1
ENSG00000011422,ENSG00000011422.12,PLAUR
ENSG00000011465,ENSG00000011465.18,DCN
ENSG00000011600,ENSG00000011600.12,TYROBP
ENSG00000012124,ENSG00000012124.17,CD22
ENSG00000012171,ENSG00000012171.20,SEMA3B
ENSG00000012223,ENSG00000012223.13,LTF
ENSG00000012504,ENSG00000012504.15,NR1H4
ENSG00000012779,ENSG00000012779.12,ALOX5
ENSG00000013583,ENSG00000013583.10,HEBP1
ENSG00000013725,ENSG00000013725.14,CD6
ENSG00000015413,ENSG00000015413.10,DPEP1
ENSG00000016402,ENSG00000016402.14,IL20RA
ENSG00000017427,ENSG00000017427.17,IGF1
ENSG00000018236,ENSG00000018236.15,CNTN1
ENSG00000019169,ENSG00000019169.11,MARCO
ENSG00000019582,ENSG00000019582.17,CD74
ENSG00000019991,ENSG00000019991.18,HGF
ENSG00000020181,ENSG00000020181.18,ADGRA2
ENSG00000021645,ENSG00000021645.20,NRXN3
ENSG00000025423,ENSG00000025423.11,HSD17B6
ENSG00000025434,ENSG00000025434.19,NR1H3
ENSG00000026025,ENSG00000026025.16,VIM
ENSG00000026103,ENSG00000026103.25,FAS
ENSG00000026297,ENSG00000026297.17,RNASET2
ENSG00000026508,ENSG00000026508.21,CD44
ENSG00000027697,ENSG00000027697.16,IFNGR1
ENSG00000028137,ENSG00000028137.19,TNFRSF1B
ENSG00000029559,ENSG00000029559.7,IBSP
ENSG00000030304,ENSG00000030304.15,MUSK
ENSG00000034971,ENSG00000034971.17,MYOC
ENSG00000035403,ENSG00000035403.18,VCL
ENSG00000035862,ENSG00000035862.13,TIMP2
ENSG00000037280,ENSG00000037280.16,FLT4
ENSG00000038427,ENSG00000038427.16,VCAN
ENSG00000039068,ENSG00000039068.20,CDH1
ENSG00000040608,ENSG00000040608.14,RTN4R
ENSG00000040731,ENSG00000040731.10,CDH10
ENSG00000041982,ENSG00000041982.17,TNC
ENSG00000042832,ENSG00000042832.12,TG
ENSG00000042980,ENSG00000042980.14,ADAM28
ENSG00000043591,ENSG00000043591.6,ADRB1
ENSG00000044012,ENSG00000044012.4,GUCA2B
ENSG00000044524,ENSG00000044524.11,EPHA3
