row,source_protein,target_protein,source_ensg,target_ensg,source_symbol,target_symbol
0,P0DP23,Q13507,ENSG00000198668,ENSG00000138741,CALM1,TRPC3
1,P46531,Q9Y219,ENSG00000148400,ENSG00000184916,NOTCH1,JAG2
2,Q9Y219,P46531,ENSG00000184916,ENSG00000148400,JAG2,NOTCH1
3,O00548,P46531,ENSG00000275555,ENSG00000148400,DLL1,NOTCH1
4,O00548,P46531,ENSG00000198719,ENSG00000148400,DLL1,NOTCH1
5,P05019,P08069,ENSG00000017427,ENSG00000140443,IGF1,IGF1R
6,P46531,P78504,ENSG00000148400,ENSG00000101384,NOTCH1,JAG1
7,P78504,P46531,ENSG00000101384,ENSG00000148400,JAG1,NOTCH1
8,P01135,P04626,ENSG00000163235,ENSG00000141736,TGFA,ERBB2
9,Q96HF1,P56705,ENSG00000145423,ENSG00000162552,SFRP2,WNT4
10,Q8N474,P56705,ENSG00000104332,ENSG00000162552,SFRP1,WNT4
11,Q96HF1,P04628,ENSG00000145423,ENSG00000125084,SFRP2,WNT1
12,Q8N474,P09544,ENSG00000104332,ENSG00000105989,SFRP1,WNT2
13,Q8N474,P04628,ENSG00000104332,ENSG00000125084,SFRP1,WNT1
14,P41221,Q14332,ENSG00000114251,ENSG00000180340,WNT5A,FZD2
15,Q9GZX6,Q08334,ENSG00000127318,ENSG00000243646,IL22,IL10RB
16,P01588,P19235,ENSG00000130427,ENSG00000187266,EPO,EPOR
17,Q9H2A7,O00574,ENSG00000161921,ENSG00000172215,CXCL16,CXCR6
18,P16619,P51681,ENSG00000277336,ENSG00000160791,CCL3L3,CCR5
19,P16619,P51681,ENSG00000277768,ENSG00000160791,CCL3L3,CCR5
20,P16619,P51681,ENSG00000276085,ENSG00000160791,CCL3L3,CCR5
21,P16619,P51681,ENSG00000293545,ENSG00000160791,CCL3L3,CCR5
22,P50591,O14798,ENSG00000121858,ENSG00000173535,TNFSF10,TNFRSF10C
23,P22301,Q13651,ENSG00000136634,ENSG00000110324,IL10,IL10RA
24,P01579,P15260,ENSG00000111537,ENSG00000027697,IFNG,IFNGR1
25,P01344,P11717,ENSG00000167244,ENSG00000197081,IGF2,IGF2R
26,P49771,P36888,ENSG00000090554,ENSG00000122025,FLT3LG,FLT3
27,P21583,P10721,ENSG00000049130,ENSG00000157404,KITLG,KIT
28,P01344,P08069,ENSG00000167244,ENSG00000140443,IGF2,IGF1R
29,Q07325,P49682,ENSG00000138755,ENSG00000186810,CXCL9,CXCR3
30,P13501,P51681,ENSG00000274233,ENSG00000160791,CCL5,CCR5
31,P13501,P51681,ENSG00000271503,ENSG00000160791,CCL5,CCR5
32,P80075,P51681,ENSG00000108700,ENSG00000160791,CCL8,CCR5
33,P13236,P51681,ENSG00000275302,ENSG00000160791,CCL4,CCR5
34,P13236,P51681,ENSG00000277943,ENSG00000160791,CCL4,CCR5
35,P13236,P51681,ENSG00000275824,ENSG00000160791,CCL4,CCR5
36,P05231,P40189,ENSG00000136244,ENSG00000134352,IL6,IL6ST
37,P00533,P01133,ENSG00000146648,ENSG00000138798,EGFR,EGF
38,P01133,P00533,ENSG00000138798,ENSG00000146648,EGF,EGFR
39,P01583,P14778,ENSG00000115008,ENSG00000115594,IL1A,IL1R1
40,O94907,O75581,ENSG00000107984,ENSG00000070018,DKK1,LRP6
41,O94907,O75581,ENSG00000107984,ENSG00000281324,DKK1,LRP6
42,O94907,O75197,ENSG00000107984,ENSG00000162337,DKK1,LRP5
43,P41221,Q13467,ENSG00000114251,ENSG00000163251,WNT5A,FZD5
44,P04899,P48039,ENSG00000114353,ENSG00000168412,GNAI2,MTNR1A
45,P48039,P04899,ENSG00000168412,ENSG00000114353,MTNR1A,GNAI2
46,P10747,P42081,ENSG00000178562,ENSG00000114013,CD28,CD86
47,P42081,P10747,ENSG00000114013,ENSG00000178562,CD86,CD28
48,P10747,P33681,ENSG00000178562,ENSG00000121594,CD28,CD80
49,P33681,P10747,ENSG00000121594,ENSG00000178562,CD80,CD28
50,P04083,P25090,ENSG00000135046,ENSG00000171049,ANXA1,FPR2
51,P25090,P04083,ENSG00000171049,ENSG00000135046,FPR2,ANXA1
52,O43557,P36941,ENSG00000125735,ENSG00000111321,TNFSF14,LTBR
53,P29965,P25942,ENSG00000102245,ENSG00000101017,CD40LG,CD40
54,P01374,P19438,ENSG00000231408,ENSG00000067182,LTA,TNFRSF1A
55,P01374,P19438,ENSG00000230279,ENSG00000067182,LTA,TNFRSF1A
56,P01374,P19438,ENSG00000226979,ENSG00000067182,LTA,TNFRSF1A
57,Q06643,P36941,ENSG00000204487,ENSG00000111321,LTB,LTBR
58,Q06643,P36941,ENSG00000236925,ENSG00000111321,LTB,LTBR
59,Q06643,P36941,ENSG00000231314,ENSG00000111321,LTB,LTBR
60,Q06643,P36941,ENSG00000206437,ENSG00000111321,LTB,LTBR
61,Q06643,P36941,ENSG00000223448,ENSG00000111321,LTB,LTBR
62,Q06643,P36941,ENSG00000227507,ENSG00000111321,LTB,LTBR
63,Q06643,P36941,ENSG00000238114,ENSG00000111321,LTB,LTBR
64,Q06643,P36941,ENSG00000236237,ENSG00000111321,LTB,LTBR
